Competition,Sex,Event,Round,RT,Result,RuleChange
Worlds,Mens,60m,1,0.176,Eliminated,2010-2014
Worlds,Mens,60m,2,0.139,Qualified,2010-2014
Worlds,Mens,60m,2,0.122,Qualified,2010-2014
Worlds,Mens,60m,2,0.134,Eliminated,2010-2014
Worlds,Mens,60m,2,0.129,Eliminated,2010-2014
Worlds,Mens,60m,2,0.161,Eliminated,2010-2014
Worlds,Mens,60m,2,0.142,Eliminated,2010-2014
Worlds,Mens,60m,2,0.175,Eliminated,2010-2014
Worlds,Mens,60m,2,0.152,Eliminated,2010-2014
Worlds,Mens,60m,2,0.171,Qualified,2010-2014
Worlds,Mens,60m,2,0.15,Qualified,2010-2014
Worlds,Mens,60m,2,0.18,FastestQualifier,2010-2014
Worlds,Mens,60m,2,0.138,FastestQualifier,2010-2014
Worlds,Mens,60m,2,0.151,Eliminated,2010-2014
Worlds,Mens,60m,2,0.171,Eliminated,2010-2014
Worlds,Mens,60m,2,0.136,Eliminated,2010-2014
Worlds,Mens,60m,2,0.124,Eliminated,2010-2014
Worlds,Mens,60m,2,0.149,Qualified,2010-2014
Worlds,Mens,60m,2,0.154,Qualified,2010-2014
Worlds,Mens,60m,2,0.161,Eliminated,2010-2014
Worlds,Mens,60m,2,0.158,Eliminated,2010-2014
Worlds,Mens,60m,2,0.144,Eliminated,2010-2014
Worlds,Mens,60m,2,0.152,Eliminated,2010-2014
Worlds,Mens,60m,2,0.149,Eliminated,2010-2014
Worlds,Mens,60m,2,0.146,Eliminated,2010-2014
Worlds,Mens,60m,3,0.12,Finalist,2010-2014
Worlds,Mens,60m,3,0.138,Finalist,2010-2014
Worlds,Mens,60m,3,0.16,Finalist,2010-2014
Worlds,Mens,60m,3,0.147,Finalist,2010-2014
Worlds,Mens,60m,3,0.141,Finalist,2010-2014
Worlds,Mens,60m,3,0.139,Finalist,2010-2014
Worlds,Mens,60m,3,0.129,Finalist,2010-2014
Worlds,Mens,60m,3,0.159,Finalist,2010-2014
Worlds,Mens,60m,1,0.236,Qualified,2010-2014
Worlds,Mens,60m,1,0.216,Qualified,2010-2014
Worlds,Mens,60m,1,0.151,FastestQualifier,2010-2014
Worlds,Mens,60m,1,0.157,FastestQualifier,2010-2014
Worlds,Mens,60m,1,0.2,Eliminated,2010-2014
Worlds,Mens,60m,1,0.399,Eliminated,2010-2014
Worlds,Mens,60m,1,0.258,Eliminated,2010-2014
Worlds,Mens,60m,1,0.21,Eliminated,2010-2014
Worlds,Mens,60m,1,0.167,Qualified,2010-2014
Worlds,Mens,60m,1,0.137,Qualified,2010-2014
Worlds,Mens,60m,1,0.262,Eliminated,2010-2014
Worlds,Mens,60m,1,0.3,Eliminated,2010-2014
Worlds,Mens,60m,1,0.165,Eliminated,2010-2014
Worlds,Mens,60m,1,0.414,Eliminated,2010-2014
Worlds,Mens,60m,1,0.326,Eliminated,2010-2014
Worlds,Mens,60m,1,NA,DNS,2010-2014
Worlds,Mens,60m,1,0.149,Qualified,2010-2014
Worlds,Mens,60m,1,0.393,Qualified,2010-2014
Worlds,Mens,60m,1,0.175,Eliminated,2010-2014
Worlds,Mens,60m,1,0.42,Eliminated,2010-2014
Worlds,Mens,60m,1,0.156,Eliminated,2010-2014
Worlds,Mens,60m,1,0.426,Eliminated,2010-2014
Worlds,Mens,60m,1,0.282,Eliminated,2010-2014
Worlds,Mens,60m,1,0.173,Qualified,2010-2014
Worlds,Mens,60m,1,0.246,Qualified,2010-2014
Worlds,Mens,60m,1,0.277,FastestQualifier,2010-2014
Worlds,Mens,60m,1,0.376,FastestQualifier,2010-2014
Worlds,Mens,60m,1,0.225,Eliminated,2010-2014
Worlds,Mens,60m,1,0.321,Eliminated,2010-2014
Worlds,Mens,60m,1,0.27,Eliminated,2010-2014
Worlds,Mens,60m,1,0.368,Eliminated,2010-2014
Worlds,Mens,60m,1,0.227,Qualified,2010-2014
Worlds,Mens,60m,1,0.214,Qualified,2010-2014
Worlds,Mens,60m,1,0.182,FastestQualifier,2010-2014
Worlds,Mens,60m,1,0.243,FastestQualifier,2010-2014
Worlds,Mens,60m,1,0.184,Eliminated,2010-2014
Worlds,Mens,60m,1,0.361,Eliminated,2010-2014
Worlds,Mens,60m,1,0.406,Eliminated,2010-2014
Worlds,Mens,60m,1,NA,DNS,2010-2014
Worlds,Mens,60m,1,0.26,Qualified,2010-2014
Worlds,Mens,60m,1,0.367,Qualified,2010-2014
Worlds,Mens,60m,1,0.272,Eliminated,2010-2014
Worlds,Mens,60m,1,0.305,Eliminated,2010-2014
Worlds,Mens,60m,1,0.402,Eliminated,2010-2014
Worlds,Mens,60m,1,-0.12,Disqualified,2010-2014
Worlds,Mens,60m,1,-0.277,Disqualified,2010-2014
Worlds,Mens,60m,1,0.25,Qualified,2010-2014
Worlds,Mens,60m,1,0.335,Qualified,2010-2014
Worlds,Mens,60m,1,0.233,Eliminated,2010-2014
Worlds,Mens,60m,1,0.321,Eliminated,2010-2014
Worlds,Mens,60m,1,0.299,Eliminated,2010-2014
Worlds,Mens,60m,1,0.165,Eliminated,2010-2014
Worlds,Mens,60m,1,0.259,Eliminated,2010-2014
Worlds,Mens,60m,1,0.171,Qualified,2010-2014
Worlds,Mens,60m,1,0.145,Qualified,2010-2014
Worlds,Mens,60m,1,0.416,FastestQualifier,2010-2014
Worlds,Mens,60m,1,0.339,FastestQualifier,2010-2014
Worlds,Mens,60m,1,0.222,Eliminated,2010-2014
Worlds,Mens,60m,1,0.295,Eliminated,2010-2014
Worlds,Mens,60m,1,0.211,Eliminated,2010-2014
Worlds,Mens,60m,1,0.338,Eliminated,2010-2014
Worlds,Mens,60m,2,0.158,Qualified,2010-2014
Worlds,Mens,60m,2,0.142,Qualified,2010-2014
Worlds,Mens,60m,2,0.211,Eliminated,2010-2014
Worlds,Mens,60m,2,0.128,Eliminated,2010-2014
Worlds,Mens,60m,2,0.135,Eliminated,2010-2014
Worlds,Mens,60m,2,0.165,Eliminated,2010-2014
Worlds,Mens,60m,2,0.297,Eliminated,2010-2014
Worlds,Mens,60m,2,0.252,Eliminated,2010-2014
Worlds,Mens,60m,2,0.155,Qualified,2010-2014
Worlds,Mens,60m,2,0.155,Qualified,2010-2014
Worlds,Mens,60m,2,0.166,FastestQualifier,2010-2014
Worlds,Mens,60m,2,0.135,Eliminated,2010-2014
Worlds,Mens,60m,2,0.157,Eliminated,2010-2014
Worlds,Mens,60m,2,0.199,Eliminated,2010-2014
Worlds,Mens,60m,2,0.192,Eliminated,2010-2014
Worlds,Mens,60m,2,0.217,Eliminated,2010-2014
Worlds,Mens,60m,2,0.162,Qualified,2010-2014
Worlds,Mens,60m,2,0.129,Qualified,2010-2014
Worlds,Mens,60m,2,0.14,FastestQualifier,2010-2014
Worlds,Mens,60m,2,0.214,Eliminated,2010-2014
Worlds,Mens,60m,2,0.337,Eliminated,2010-2014
Worlds,Mens,60m,2,0.195,Eliminated,2010-2014
Worlds,Mens,60m,2,0.219,Eliminated,2010-2014
Worlds,Mens,60m,2,NA,DNS,2010-2014
Worlds,Mens,60m,3,0.149,Finalist,2010-2014
Worlds,Mens,60m,3,0.143,Finalist,2010-2014
Worlds,Mens,60m,3,0.131,Finalist,2010-2014
Worlds,Mens,60m,3,0.145,Finalist,2010-2014
Worlds,Mens,60m,3,0.148,Finalist,2010-2014
Worlds,Mens,60m,3,0.161,Finalist,2010-2014
Worlds,Mens,60m,3,0.139,Finalist,2010-2014
Worlds,Mens,60m,3,0.168,Finalist,2010-2014
Worlds,Mens,60m,1,0.179,Qualified,2010-2014
Worlds,Mens,60m,1,0.13,Qualified,2010-2014
Worlds,Mens,60m,1,0.128,Qualified,2010-2014
Worlds,Mens,60m,1,0.139,FastestQualifier,2010-2014
Worlds,Mens,60m,1,0.198,Eliminated,2010-2014
Worlds,Mens,60m,1,0.168,Eliminated,2010-2014
Worlds,Mens,60m,1,0.147,Eliminated,2010-2014
Worlds,Mens,60m,1,0.172,Eliminated,2010-2014
Worlds,Mens,60m,1,0.155,Qualified,2010-2014
Worlds,Mens,60m,1,0.168,Qualified,2010-2014
Worlds,Mens,60m,1,0.217,Qualified,2010-2014
Worlds,Mens,60m,1,0.175,Eliminated,2010-2014
Worlds,Mens,60m,1,0.296,Eliminated,2010-2014
Worlds,Mens,60m,1,0.166,Eliminated,2010-2014
Worlds,Mens,60m,1,0.189,Eliminated,2010-2014
Worlds,Mens,60m,1,0.148,Qualified,2010-2014
Worlds,Mens,60m,1,0.148,Qualified,2010-2014
Worlds,Mens,60m,1,0.226,Qualified,2010-2014
Worlds,Mens,60m,1,0.227,FastestQualifier,2010-2014
Worlds,Mens,60m,1,0.136,Eliminated,2010-2014
Worlds,Mens,60m,1,0.21,Eliminated,2010-2014
Worlds,Mens,60m,1,0.229,Eliminated,2010-2014
Worlds,Mens,60m,1,0.176,Eliminated,2010-2014
Worlds,Mens,60m,1,0.168,Qualified,2010-2014
Worlds,Mens,60m,1,0.164,Qualified,2010-2014
Worlds,Mens,60m,1,0.142,Qualified,2010-2014
Worlds,Mens,60m,1,0.198,Eliminated,2010-2014
Worlds,Mens,60m,1,0.166,Eliminated,2010-2014
Worlds,Mens,60m,1,0.136,Eliminated,2010-2014
Worlds,Mens,60m,1,0.277,Eliminated,2010-2014
Worlds,Mens,60m,1,0.176,Qualified,2010-2014
Worlds,Mens,60m,1,0.218,Qualified,2010-2014
Worlds,Mens,60m,1,0.165,Qualified,2010-2014
Worlds,Mens,60m,1,0.152,FastestQualifier,2010-2014
Worlds,Mens,60m,1,0.184,Eliminated,2010-2014
Worlds,Mens,60m,1,0.184,Eliminated,2010-2014
Worlds,Mens,60m,1,NA,Disqualified,2010-2014
Worlds,Mens,60m,1,NA,DNS,2010-2014
Worlds,Mens,60m,1,0.166,Qualified,2010-2014
Worlds,Mens,60m,1,0.229,Qualified,2010-2014
Worlds,Mens,60m,1,0.218,Qualified,2010-2014
Worlds,Mens,60m,1,0.151,Eliminated,2010-2014
Worlds,Mens,60m,1,0.187,Eliminated,2010-2014
Worlds,Mens,60m,1,0.2,Eliminated,2010-2014
Worlds,Mens,60m,1,0.358,Eliminated,2010-2014
Worlds,Mens,60m,1,0.161,Eliminated,2010-2014
Worlds,Mens,60m,1,0.151,Qualified,2010-2014
Worlds,Mens,60m,1,0.274,Qualified,2010-2014
Worlds,Mens,60m,1,0.181,Qualified,2010-2014
Worlds,Mens,60m,1,0.168,Eliminated,2010-2014
Worlds,Mens,60m,1,0.161,Eliminated,2010-2014
Worlds,Mens,60m,1,0.283,Eliminated,2010-2014
Worlds,Mens,60m,1,0.201,Eliminated,2010-2014
Worlds,Mens,60m,2,0.158,Qualified,2010-2014
Worlds,Mens,60m,2,0.162,Qualified,2010-2014
Worlds,Mens,60m,2,0.14,Eliminated,2010-2014
Worlds,Mens,60m,2,0.152,Eliminated,2010-2014
Worlds,Mens,60m,2,0.149,Eliminated,2010-2014
Worlds,Mens,60m,2,0.156,Eliminated,2010-2014
Worlds,Mens,60m,2,0.134,Eliminated,2010-2014
Worlds,Mens,60m,2,0.202,Eliminated,2010-2014
Worlds,Mens,60m,2,0.15,Qualified,2010-2014
Worlds,Mens,60m,2,0.153,Qualified,2010-2014
Worlds,Mens,60m,2,0.14,FastestQualifier,2010-2014
Worlds,Mens,60m,2,0.185,FastestQualifier,2010-2014
Worlds,Mens,60m,2,0.17,Eliminated,2010-2014
Worlds,Mens,60m,2,0.109,Eliminated,2010-2014
Worlds,Mens,60m,2,0.168,Eliminated,2010-2014
Worlds,Mens,60m,2,0.129,DNF,2010-2014
Worlds,Mens,60m,2,0.171,Qualified,2010-2014
Worlds,Mens,60m,2,0.155,Qualified,2010-2014
Worlds,Mens,60m,2,0.207,Eliminated,2010-2014
Worlds,Mens,60m,2,0.154,Eliminated,2010-2014
Worlds,Mens,60m,2,0.142,Eliminated,2010-2014
Worlds,Mens,60m,2,0.167,Eliminated,2010-2014
Worlds,Mens,60m,2,0.163,Eliminated,2010-2014
Worlds,Mens,60m,2,NA,Disqualified,2010-2014
Worlds,Mens,60m,3,0.141,Finalist,2010-2014
Worlds,Mens,60m,3,0.145,Finalist,2010-2014
Worlds,Mens,60m,3,0.141,Finalist,2010-2014
Worlds,Mens,60m,3,0.157,Finalist,2010-2014
Worlds,Mens,60m,3,0.149,Finalist,2010-2014
Worlds,Mens,60m,3,0.155,Finalist,2010-2014
Worlds,Mens,60m,3,0.174,Finalist,2010-2014
Worlds,Mens,60m,3,NA,DNS,2010-2014
Worlds,Mens,60m,1,0.261,Qualified,2004-2009
Worlds,Mens,60m,1,0.269,Qualified,2004-2009
Worlds,Mens,60m,1,0.138,FastestQualifier,2004-2009
Worlds,Mens,60m,1,0.22,FastestQualifier,2004-2009
Worlds,Mens,60m,1,0.25,Eliminated,2004-2009
Worlds,Mens,60m,1,0.291,Eliminated,2004-2009
Worlds,Mens,60m,1,0.213,Eliminated,2004-2009
Worlds,Mens,60m,1,0.452,Eliminated,2004-2009
Worlds,Mens,60m,1,0.142,Qualified,2004-2009
Worlds,Mens,60m,1,0.266,Qualified,2004-2009
Worlds,Mens,60m,1,0.19,FastestQualifier,2004-2009
Worlds,Mens,60m,1,0.151,FastestQualifier,2004-2009
Worlds,Mens,60m,1,0.219,Eliminated,2004-2009
Worlds,Mens,60m,1,0.188,Eliminated,2004-2009
Worlds,Mens,60m,1,0.23,Eliminated,2004-2009
Worlds,Mens,60m,1,0.197,Eliminated,2004-2009
Worlds,Mens,60m,1,0.166,Qualified,2004-2009
Worlds,Mens,60m,1,0.246,Qualified,2004-2009
Worlds,Mens,60m,1,0.25,Eliminated,2004-2009
Worlds,Mens,60m,1,0.264,Eliminated,2004-2009
Worlds,Mens,60m,1,0.172,Eliminated,2004-2009
Worlds,Mens,60m,1,0.246,Eliminated,2004-2009
Worlds,Mens,60m,1,0.215,Eliminated,2004-2009
Worlds,Mens,60m,1,0.255,Eliminated,2004-2009
Worlds,Mens,60m,1,0.162,Qualified,2004-2009
Worlds,Mens,60m,1,0.171,Qualified,2004-2009
Worlds,Mens,60m,1,0.255,FastestQualifier,2004-2009
Worlds,Mens,60m,1,0.156,FastestQualifier,2004-2009
Worlds,Mens,60m,1,0.262,Eliminated,2004-2009
Worlds,Mens,60m,1,0.189,Eliminated,2004-2009
Worlds,Mens,60m,1,0.252,Eliminated,2004-2009
Worlds,Mens,60m,1,NA,DNS,2004-2009
Worlds,Mens,60m,1,0.167,Qualified,2004-2009
Worlds,Mens,60m,1,0.141,Qualified,2004-2009
Worlds,Mens,60m,1,0.161,FastestQualifier,2004-2009
Worlds,Mens,60m,1,0.221,Eliminated,2004-2009
Worlds,Mens,60m,1,0.275,Eliminated,2004-2009
Worlds,Mens,60m,1,0.29,Eliminated,2004-2009
Worlds,Mens,60m,1,0.168,Eliminated,2004-2009
Worlds,Mens,60m,1,0.159,Qualified,2004-2009
Worlds,Mens,60m,1,0.257,Qualified,2004-2009
Worlds,Mens,60m,1,0.248,FastestQualifier,2004-2009
Worlds,Mens,60m,1,0.249,Eliminated,2004-2009
Worlds,Mens,60m,1,0.157,Eliminated,2004-2009
Worlds,Mens,60m,1,0.235,Eliminated,2004-2009
Worlds,Mens,60m,1,0.246,Eliminated,2004-2009
Worlds,Mens,60m,1,0.273,Eliminated,2004-2009
Worlds,Mens,60m,1,0.169,Qualified,2004-2009
Worlds,Mens,60m,1,0.152,Qualified,2004-2009
Worlds,Mens,60m,1,0.174,Eliminated,2004-2009
Worlds,Mens,60m,1,0.206,Eliminated,2004-2009
Worlds,Mens,60m,1,0.206,Eliminated,2004-2009
Worlds,Mens,60m,1,NA,Disqualified,2004-2009
Worlds,Mens,60m,1,NA,DNS,2004-2009
Worlds,Mens,60m,1,NA,DNS,2004-2009
Worlds,Mens,60m,1,0.137,Qualified,2004-2009
Worlds,Mens,60m,1,0.169,Qualified,2004-2009
Worlds,Mens,60m,1,0.287,Eliminated,2004-2009
Worlds,Mens,60m,1,0.168,Eliminated,2004-2009
Worlds,Mens,60m,1,0.383,Eliminated,2004-2009
Worlds,Mens,60m,1,0.257,Eliminated,2004-2009
Worlds,Mens,60m,1,0.255,Eliminated,2004-2009
Worlds,Mens,60m,2,0.16,Qualified,2004-2009
Worlds,Mens,60m,2,0.144,Qualified,2004-2009
Worlds,Mens,60m,2,0.242,Eliminated,2004-2009
Worlds,Mens,60m,2,0.134,Eliminated,2004-2009
Worlds,Mens,60m,2,0.153,Eliminated,2004-2009
Worlds,Mens,60m,2,0.25,Eliminated,2004-2009
Worlds,Mens,60m,2,0.295,Eliminated,2004-2009
Worlds,Mens,60m,2,0.276,Eliminated,2004-2009
Worlds,Mens,60m,2,0.117,Qualified,2004-2009
Worlds,Mens,60m,2,0.145,Qualified,2004-2009
Worlds,Mens,60m,2,0.214,FastestQualifier,2004-2009
Worlds,Mens,60m,2,0.155,FastestQualifier,2004-2009
Worlds,Mens,60m,2,0.141,Eliminated,2004-2009
Worlds,Mens,60m,2,0.146,Eliminated,2004-2009
Worlds,Mens,60m,2,0.147,Eliminated,2004-2009
Worlds,Mens,60m,2,0.234,Eliminated,2004-2009
Worlds,Mens,60m,2,0.15,Qualified,2004-2009
Worlds,Mens,60m,2,0.103,Qualified,2004-2009
Worlds,Mens,60m,2,0.166,Eliminated,2004-2009
Worlds,Mens,60m,2,0.137,Eliminated,2004-2009
Worlds,Mens,60m,2,0.176,Eliminated,2004-2009
Worlds,Mens,60m,2,0.157,Eliminated,2004-2009
Worlds,Mens,60m,2,0.239,Eliminated,2004-2009
Worlds,Mens,60m,2,0.18,Eliminated,2004-2009
Worlds,Mens,60m,3,0.149,Finalist,2004-2009
Worlds,Mens,60m,3,0.13,Finalist,2004-2009
Worlds,Mens,60m,3,0.148,Finalist,2004-2009
Worlds,Mens,60m,3,0.154,Finalist,2004-2009
Worlds,Mens,60m,3,0.149,Finalist,2004-2009
Worlds,Mens,60m,3,0.133,Finalist,2004-2009
Worlds,Mens,60m,3,0.16,Finalist,2004-2009
Worlds,Mens,60m,3,0.162,Finalist,2004-2009
Worlds,Mens,60m,1,0.114,Qualified,2004-2009
Worlds,Mens,60m,1,0.245,Qualified,2004-2009
Worlds,Mens,60m,1,0.234,Qualified,2004-2009
Worlds,Mens,60m,1,0.137,Eliminated,2004-2009
Worlds,Mens,60m,1,0.228,Eliminated,2004-2009
Worlds,Mens,60m,1,0.193,Eliminated,2004-2009
Worlds,Mens,60m,1,0.249,Eliminated,2004-2009
Worlds,Mens,60m,1,0.245,Eliminated,2004-2009
Worlds,Mens,60m,1,0.117,Qualified,2004-2009
Worlds,Mens,60m,1,0.146,Qualified,2004-2009
Worlds,Mens,60m,1,0.152,Qualified,2004-2009
Worlds,Mens,60m,1,0.161,FastestQualifier,2004-2009
Worlds,Mens,60m,1,0.148,Eliminated,2004-2009
Worlds,Mens,60m,1,0.202,Eliminated,2004-2009
Worlds,Mens,60m,1,NA,DNS,2004-2009
Worlds,Mens,60m,1,0.229,Qualified,2004-2009
Worlds,Mens,60m,1,0.193,Qualified,2004-2009
Worlds,Mens,60m,1,0.193,Qualified,2004-2009
Worlds,Mens,60m,1,0.258,Eliminated,2004-2009
Worlds,Mens,60m,1,0.169,Eliminated,2004-2009
Worlds,Mens,60m,1,0.153,Eliminated,2004-2009
Worlds,Mens,60m,1,0.3,Eliminated,2004-2009
Worlds,Mens,60m,1,0.15,Eliminated,2004-2009
Worlds,Mens,60m,1,0.193,Qualified,2004-2009
Worlds,Mens,60m,1,0.138,Qualified,2004-2009
Worlds,Mens,60m,1,0.17,Qualified,2004-2009
Worlds,Mens,60m,1,0.139,Eliminated,2004-2009
Worlds,Mens,60m,1,0.157,Eliminated,2004-2009
Worlds,Mens,60m,1,0.169,Eliminated,2004-2009
Worlds,Mens,60m,1,0.157,Eliminated,2004-2009
Worlds,Mens,60m,1,0.147,Eliminated,2004-2009
Worlds,Mens,60m,1,0.227,Qualified,2004-2009
Worlds,Mens,60m,1,0.179,Qualified,2004-2009
Worlds,Mens,60m,1,0.179,Qualified,2004-2009
Worlds,Mens,60m,1,0.232,Eliminated,2004-2009
Worlds,Mens,60m,1,0.353,Eliminated,2004-2009
Worlds,Mens,60m,1,0.218,Eliminated,2004-2009
Worlds,Mens,60m,1,0.177,Eliminated,2004-2009
Worlds,Mens,60m,1,0.137,Eliminated,2004-2009
Worlds,Mens,60m,1,0.218,Qualified,2004-2009
Worlds,Mens,60m,1,0.137,Qualified,2004-2009
Worlds,Mens,60m,1,0.145,Qualified,2004-2009
Worlds,Mens,60m,1,0.206,FastestQualifier,2004-2009
Worlds,Mens,60m,1,0.152,FastestQualifier,2004-2009
Worlds,Mens,60m,1,0.152,Eliminated,2004-2009
Worlds,Mens,60m,1,0.139,Eliminated,2004-2009
Worlds,Mens,60m,1,0.263,Eliminated,2004-2009
Worlds,Mens,60m,1,0.132,Qualified,2004-2009
Worlds,Mens,60m,1,0.178,Qualified,2004-2009
Worlds,Mens,60m,1,0.156,Qualified,2004-2009
Worlds,Mens,60m,1,0.246,Eliminated,2004-2009
Worlds,Mens,60m,1,0.168,Eliminated,2004-2009
Worlds,Mens,60m,1,0.139,Eliminated,2004-2009
Worlds,Mens,60m,1,0.259,Eliminated,2004-2009
Worlds,Mens,60m,1,0.21,Eliminated,2004-2009
Worlds,Mens,60m,2,0.206,Qualified,2004-2009
Worlds,Mens,60m,2,0.181,Qualified,2004-2009
Worlds,Mens,60m,2,0.132,FastestQualifier,2004-2009
Worlds,Mens,60m,2,0.174,Eliminated,2004-2009
Worlds,Mens,60m,2,0.202,Eliminated,2004-2009
Worlds,Mens,60m,2,0.238,Eliminated,2004-2009
Worlds,Mens,60m,2,0.219,Eliminated,2004-2009
Worlds,Mens,60m,2,0.167,Eliminated,2004-2009
Worlds,Mens,60m,2,0.17,Qualified,2004-2009
Worlds,Mens,60m,2,0.166,Qualified,2004-2009
Worlds,Mens,60m,2,0.185,Eliminated,2004-2009
Worlds,Mens,60m,2,0.164,Eliminated,2004-2009
Worlds,Mens,60m,2,0.139,Eliminated,2004-2009
Worlds,Mens,60m,2,0.177,Eliminated,2004-2009
Worlds,Mens,60m,2,0.16,Eliminated,2004-2009
Worlds,Mens,60m,2,0.195,Eliminated,2004-2009
Worlds,Mens,60m,2,0.125,Qualified,2004-2009
Worlds,Mens,60m,2,0.166,Qualified,2004-2009
Worlds,Mens,60m,2,0.16,FastestQualifier,2004-2009
Worlds,Mens,60m,2,0.131,Eliminated,2004-2009
Worlds,Mens,60m,2,0.125,Eliminated,2004-2009
Worlds,Mens,60m,2,0.135,Eliminated,2004-2009
Worlds,Mens,60m,2,0.144,Eliminated,2004-2009
Worlds,Mens,60m,2,0.121,Eliminated,2004-2009
Worlds,Mens,60m,3,0.124,Finalist,2004-2009
Worlds,Mens,60m,3,0.144,Finalist,2004-2009
Worlds,Mens,60m,3,0.171,Finalist,2004-2009
Worlds,Mens,60m,3,0.155,Finalist,2004-2009
Worlds,Mens,60m,3,0.163,Finalist,2004-2009
Worlds,Mens,60m,3,0.135,Finalist,2004-2009
Worlds,Mens,60m,3,0.159,Finalist,2004-2009
Worlds,Mens,60m,3,0.153,Finalist,2004-2009
Worlds,Mens,60m,1,0.136,Qualified,2004-2009
Worlds,Mens,60m,1,0.16,Qualified,2004-2009
Worlds,Mens,60m,1,0.149,Eliminated,2004-2009
Worlds,Mens,60m,1,0.156,Eliminated,2004-2009
Worlds,Mens,60m,1,0.143,Eliminated,2004-2009
Worlds,Mens,60m,1,0.18,Eliminated,2004-2009
Worlds,Mens,60m,1,0.141,Eliminated,2004-2009
Worlds,Mens,60m,1,NA,DNS,2004-2009
Worlds,Mens,60m,1,0.123,Qualified,2004-2009
Worlds,Mens,60m,1,0.114,Qualified,2004-2009
Worlds,Mens,60m,1,0.108,Eliminated,2004-2009
Worlds,Mens,60m,1,0.12,Eliminated,2004-2009
Worlds,Mens,60m,1,0.159,Eliminated,2004-2009
Worlds,Mens,60m,1,0.166,Eliminated,2004-2009
Worlds,Mens,60m,1,0.15,Eliminated,2004-2009
Worlds,Mens,60m,1,NA,DNS,2004-2009
Worlds,Mens,60m,1,0.14,Qualified,2004-2009
Worlds,Mens,60m,1,0.142,Qualified,2004-2009
Worlds,Mens,60m,1,0.133,FastestQualifier,2004-2009
Worlds,Mens,60m,1,0.19,FastestQualifier,2004-2009
Worlds,Mens,60m,1,0.143,Eliminated,2004-2009
Worlds,Mens,60m,1,0.177,Eliminated,2004-2009
Worlds,Mens,60m,1,0.199,Eliminated,2004-2009
Worlds,Mens,60m,1,0.137,Qualified,2004-2009
Worlds,Mens,60m,1,0.133,Qualified,2004-2009
Worlds,Mens,60m,1,0.15,Eliminated,2004-2009
Worlds,Mens,60m,1,0.166,Eliminated,2004-2009
Worlds,Mens,60m,1,0.131,Eliminated,2004-2009
Worlds,Mens,60m,1,0.124,Eliminated,2004-2009
Worlds,Mens,60m,1,NA,DNS,2004-2009
Worlds,Mens,60m,1,0.169,Qualified,2004-2009
Worlds,Mens,60m,1,0.121,Qualified,2004-2009
Worlds,Mens,60m,1,0.149,FastestQualifier,2004-2009
Worlds,Mens,60m,1,0.144,FastestQualifier,2004-2009
